t_s,phase,battery_v,drivetrain_a,intake_arms_a,intake_spinner_a,shooting_a
5.500,teleop,12.159,-0.0,0.0,0.0,0.0
5.550,teleop,12.159,-0.0,0.0,0.0,0.0
5.600,teleop,12.165,-0.0,0.0,0.0,0.0
5.650,teleop,12.159,-0.0,0.0,0.0,0.0
5.700,teleop,12.165,-0.0,0.0,0.0,0.0
5.750,teleop,12.178,-0.0,0.0,0.0,0.0
5.800,teleop,12.159,0.0,0.0,0.0,0.0
5.850,teleop,12.159,0.0,0.0,0.0,0.0
5.900,teleop,12.140,0.0,0.0,0.0,0.0
5.950,teleop,12.159,0.0,0.0,0.0,0.0
6.000,teleop,12.159,0.0,0.0,0.0,0.0
6.051,teleop,12.159,-0.0,0.0,0.0,0.0
6.100,teleop,12.159,-0.0,0.0,0.0,0.0
6.152,teleop,12.165,-0.0,0.0,0.0,0.0
6.201,teleop,12.153,-0.0,0.0,0.0,0.0
6.250,teleop,12.153,-0.0,0.0,0.0,0.0
6.300,teleop,12.146,-0.0,0.0,0.0,0.0
6.350,teleop,12.146,-0.0,0.0,0.0,0.0
6.400,teleop,12.159,-0.0,0.0,0.0,0.0
6.450,teleop,12.159,-0.0,0.0,0.0,0.0
6.500,teleop,12.159,-0.0,0.0,0.0,0.0
6.550,teleop,12.159,-0.0,0.0,0.0,0.0
6.600,teleop,12.159,-0.0,0.0,0.0,0.0
6.650,teleop,12.153,-0.0,0.0,0.0,0.0
6.700,teleop,12.153,-0.0,0.0,0.0,0.0
6.750,teleop,12.153,-0.0,0.0,0.0,0.0
6.800,teleop,12.165,-0.0,0.0,0.0,0.0
6.850,teleop,12.159,-0.0,0.0,0.0,0.0
6.900,teleop,12.172,-0.0,0.0,0.0,0.0
6.950,teleop,12.165,-0.0,0.0,0.0,0.0
7.000,teleop,12.159,-0.0,0.0,0.0,0.0
7.050,teleop,12.159,-0.0,0.0,0.0,0.0
7.100,teleop,12.153,-0.0,0.0,0.0,0.0
7.150,teleop,12.140,-0.0,0.0,0.0,0.0
7.200,teleop,12.172,-0.0,0.0,0.0,0.0
7.250,teleop,12.159,-0.0,0.0,0.0,0.0
7.300,teleop,12.172,0.0,0.0,0.0,0.0
7.350,teleop,12.172,0.0,0.0,0.0,0.0
7.400,teleop,12.153,0.0,0.0,0.0,0.0
7.452,teleop,12.146,0.0,0.0,0.0,0.0
7.501,teleop,12.159,0.0,0.0,0.0,0.0
7.550,teleop,12.159,-0.0,0.0,0.0,0.0
7.601,teleop,12.172,-0.0,0.0,0.0,0.0
7.650,teleop,12.172,-0.0,0.0,0.0,0.0
7.700,teleop,12.159,-0.0,0.0,0.0,0.0
7.750,teleop,12.172,-0.0,0.0,0.0,0.0
7.801,teleop,12.159,-0.0,0.0,0.0,0.0
7.850,teleop,12.146,-0.0,0.0,0.0,0.0
7.900,teleop,12.140,-0.0,0.0,0.0,0.0
7.950,teleop,12.146,-0.0,0.0,0.0,0.0
8.000,teleop,12.159,-0.0,0.0,0.0,0.0
8.050,teleop,12.159,0.0,0.0,0.0,0.0
8.100,teleop,12.159,-0.0,0.0,0.0,0.0
8.150,teleop,12.159,-0.0,0.0,0.0,0.0
8.200,teleop,12.146,-0.0,0.0,0.0,0.0
8.250,teleop,12.153,-0.0,0.0,0.0,0.0
8.300,teleop,12.159,-0.1,0.0,0.0,0.0
8.350,teleop,12.146,-0.1,0.0,0.0,0.0
8.400,teleop,12.172,-0.1,0.0,0.0,0.0
8.451,teleop,12.159,-0.1,0.0,0.0,0.0
8.502,teleop,12.178,-0.1,0.0,0.0,0.0
8.552,teleop,12.165,-0.0,0.0,0.0,0.0
8.601,teleop,12.153,-0.0,0.0,0.0,0.0
8.652,teleop,12.159,-0.0,0.0,0.0,0.0
8.702,teleop,12.146,-0.0,0.0,0.0,0.0
8.750,teleop,12.146,-0.0,0.0,0.0,0.0
8.800,teleop,12.165,-0.0,0.0,0.0,0.0
8.851,teleop,12.178,-0.0,0.0,0.0,0.0
8.901,teleop,12.165,-0.0,0.0,0.0,0.0
8.950,teleop,12.172,-0.0,0.0,0.0,0.0
9.000,teleop,12.140,-0.0,0.0,0.0,0.0
9.050,teleop,12.153,-0.0,0.0,0.0,0.0
9.100,teleop,12.146,-0.0,0.0,0.0,0.0
9.150,teleop,12.146,-0.0,0.0,0.0,0.0
9.200,teleop,12.153,-0.0,0.0,0.0,0.0
9.250,teleop,12.153,-0.0,0.0,0.0,0.0
9.300,teleop,12.165,-0.0,0.0,0.0,0.0
9.350,teleop,12.153,-0.0,0.0,0.0,0.0
9.400,teleop,12.146,-0.0,0.0,0.0,0.0
9.450,teleop,12.153,-0.0,0.0,0.0,0.0
9.500,teleop,12.153,-0.0,0.0,0.0,0.0
9.550,teleop,12.153,-0.0,0.0,0.0,0.0
9.600,teleop,12.172,-0.0,0.0,0.0,0.0
9.650,teleop,12.153,-0.0,0.0,0.0,0.0
9.700,teleop,12.159,-0.0,0.0,0.0,0.0
